BASE

hf (pretrained=mistralai/Mistral-7B-v0.1), gen_kwargs: (), limit: None, num_fewshot: None, batch_size: 16
|                 Tasks                 |Version|Filter|n-shot|Metric|Value |   |Stderr|
|  - abstract_algebra                   |Yaml   |none  |     0|acc   |0.2800|±  |0.0451|
|  - anatomy                            |Yaml   |none  |     0|acc   |0.4296|±  |0.0428|
|  - astronomy                          |Yaml   |none  |     0|acc   |0.4276|±  |0.0403|
|  - college_biology                    |Yaml   |none  |     0|acc   |0.4444|±  |0.0416|
|  - college_chemistry                  |Yaml   |none  |     0|acc   |0.3600|±  |0.0482|
|  - college_computer_science           |Yaml   |none  |     0|acc   |0.3700|±  |0.0485|
|  - college_mathematics                |Yaml   |none  |     0|acc   |0.3300|±  |0.0473|
|  - college_physics                    |Yaml   |none  |     0|acc   |0.3431|±  |0.0472|
|  - computer_security                  |Yaml   |none  |     0|acc   |0.5200|±  |0.0502|
|  - conceptual_physics                 |Yaml   |none  |     0|acc   |0.3489|±  |0.0312|
|  - electrical_engineering             |Yaml   |none  |     0|acc   |0.3931|±  |0.0407|
|  - elementary_mathematics             |Yaml   |none  |     0|acc   |0.2698|±  |0.0229|
|  - high_school_biology                |Yaml   |none  |     0|acc   |0.4677|±  |0.0284|
|  - high_school_chemistry              |Yaml   |none  |     0|acc   |0.3251|±  |0.0330|
|  - high_school_computer_science       |Yaml   |none  |     0|acc   |0.2600|±  |0.0441|
|  - high_school_mathematics            |Yaml   |none  |     0|acc   |0.2593|±  |0.0267|
|  - high_school_physics                |Yaml   |none  |     0|acc   |0.2715|±  |0.0363|
|  - high_school_statistics             |Yaml   |none  |     0|acc   |0.3565|±  |0.0327|
|  - machine_learning                   |Yaml   |none  |     0|acc   |0.2500|±  |0.0411|

|      Groups      |Version|Filter|n-shot|Metric|Value |   |Stderr|
|------------------|-------|------|-----:|------|-----:|---|-----:|
|mmlu              |N/A    |none  |     0|acc   |0.3805|±  |0.0868|
| - humanities     |N/A    |none  |     0|acc   |0.3388|±  |0.0877|
| - other          |N/A    |none  |     0|acc   |0.4203|±  |0.0890|
| - social_sciences|N/A    |none  |     0|acc   |0.4358|±  |0.0746|
| - stem           |N/A    |none  |     0|acc   |0.3495|±  |0.0716|


2 LORA

hf (pretrained=/scratch/alif/language-models/segment/mistral-7b-instruct-2_avg), gen_kwargs: (), limit: None, num_fewshot: None, batch_size: 16
|                 Tasks                 |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|mmlu                                   |N/A    |none  |     0|acc   |0.5966|±  |0.1393|
| - humanities                          |N/A    |none  |     0|acc   |0.5356|±  |0.1653|
|  - formal_logic                       |Yaml   |none  |     0|acc   |0.3413|±  |0.0424|
|  - high_school_european_history       |Yaml   |none  |     0|acc   |0.7576|±  |0.0335|
|  - high_school_us_history             |Yaml   |none  |     0|acc   |0.7598|±  |0.0300|
|  - high_school_world_history          |Yaml   |none  |     0|acc   |0.7806|±  |0.0269|
|  - international_law                  |Yaml   |none  |     0|acc   |0.7603|±  |0.0390|
|  - jurisprudence                      |Yaml   |none  |     0|acc   |0.7407|±  |0.0424|
|  - logical_fallacies                  |Yaml   |none  |     0|acc   |0.7607|±  |0.0335|
|  - moral_disputes                     |Yaml   |none  |     0|acc   |0.6821|±  |0.0251|
|  - moral_scenarios                    |Yaml   |none  |     0|acc   |0.2413|±  |0.0143|
|  - philosophy                         |Yaml   |none  |     0|acc   |0.6945|±  |0.0262|
|  - prehistory                         |Yaml   |none  |     0|acc   |0.7130|±  |0.0252|
|  - professional_law                   |Yaml   |none  |     0|acc   |0.4420|±  |0.0127|
|  - world_religions                    |Yaml   |none  |     0|acc   |0.8129|±  |0.0299|
| - other                               |N/A    |none  |     0|acc   |0.6814|±  |0.1021|
|  - business_ethics                    |Yaml   |none  |     0|acc   |0.5900|±  |0.0494|
|  - clinical_knowledge                 |Yaml   |none  |     0|acc   |0.6906|±  |0.0285|
|  - college_medicine                   |Yaml   |none  |     0|acc   |0.5896|±  |0.0375|
|  - global_facts                       |Yaml   |none  |     0|acc   |0.3900|±  |0.0490|
|  - human_aging                        |Yaml   |none  |     0|acc   |0.6413|±  |0.0322|
|  - management                         |Yaml   |none  |     0|acc   |0.7864|±  |0.0406|
|  - marketing                          |Yaml   |none  |     0|acc   |0.8547|±  |0.0231|
|  - medical_genetics                   |Yaml   |none  |     0|acc   |0.7100|±  |0.0456|
|  - miscellaneous                      |Yaml   |none  |     0|acc   |0.7905|±  |0.0146|
|  - nutrition                          |Yaml   |none  |     0|acc   |0.7059|±  |0.0261|
|  - professional_accounting            |Yaml   |none  |     0|acc   |0.4787|±  |0.0298|
|  - professional_medicine              |Yaml   |none  |     0|acc   |0.6838|±  |0.0282|
|  - virology                           |Yaml   |none  |     0|acc   |0.5000|±  |0.0389|
| - social_sciences                     |N/A    |none  |     0|acc   |0.6952|±  |0.0897|
|  - econometrics                       |Yaml   |none  |     0|acc   |0.4298|±  |0.0466|
|  - high_school_geography              |Yaml   |none  |     0|acc   |0.7525|±  |0.0307|
|  - high_school_government_and_politics|Yaml   |none  |     0|acc   |0.8394|±  |0.0265|
|  - high_school_macroeconomics         |Yaml   |none  |     0|acc   |0.5897|±  |0.0249|
|  - high_school_microeconomics         |Yaml   |none  |     0|acc   |0.6303|±  |0.0314|
|  - high_school_psychology             |Yaml   |none  |     0|acc   |0.7835|±  |0.0177|
|  - human_sexuality                    |Yaml   |none  |     0|acc   |0.7328|±  |0.0388|
|  - professional_psychology            |Yaml   |none  |     0|acc   |0.6144|±  |0.0197|
|  - public_relations                   |Yaml   |none  |     0|acc   |0.6636|±  |0.0453|
|  - security_studies                   |Yaml   |none  |     0|acc   |0.6980|±  |0.0294|
|  - sociology                          |Yaml   |none  |     0|acc   |0.8607|±  |0.0245|
|  - us_foreign_policy                  |Yaml   |none  |     0|acc   |0.8300|±  |0.0378|
| - stem                                |N/A    |none  |     0|acc   |0.5078|±  |0.1149|
|  - abstract_algebra                   |Yaml   |none  |     0|acc   |0.2800|±  |0.0451|
|  - anatomy                            |Yaml   |none  |     0|acc   |0.5630|±  |0.0428|
|  - astronomy                          |Yaml   |none  |     0|acc   |0.6250|±  |0.0394|
|  - college_biology                    |Yaml   |none  |     0|acc   |0.6875|±  |0.0388|
|  - college_chemistry                  |Yaml   |none  |     0|acc   |0.4600|±  |0.0501|
|  - college_computer_science           |Yaml   |none  |     0|acc   |0.5600|±  |0.0499|
|  - college_mathematics                |Yaml   |none  |     0|acc   |0.3400|±  |0.0476|
|  - college_physics                    |Yaml   |none  |     0|acc   |0.4510|±  |0.0495|
|  - computer_security                  |Yaml   |none  |     0|acc   |0.7300|±  |0.0446|
|  - conceptual_physics                 |Yaml   |none  |     0|acc   |0.5404|±  |0.0326|
|  - electrical_engineering             |Yaml   |none  |     0|acc   |0.5862|±  |0.0410|
|  - elementary_mathematics             |Yaml   |none  |     0|acc   |0.3968|±  |0.0252|
|  - high_school_biology                |Yaml   |none  |     0|acc   |0.7419|±  |0.0249|
|  - high_school_chemistry              |Yaml   |none  |     0|acc   |0.4877|±  |0.0352|
|  - high_school_computer_science       |Yaml   |none  |     0|acc   |0.6600|±  |0.0476|
|  - high_school_mathematics            |Yaml   |none  |     0|acc   |0.3296|±  |0.0287|
|  - high_school_physics                |Yaml   |none  |     0|acc   |0.2980|±  |0.0373|
|  - high_school_statistics             |Yaml   |none  |     0|acc   |0.4676|±  |0.0340|
|  - machine_learning                   |Yaml   |none  |     0|acc   |0.5000|±  |0.0475|

|      Groups      |Version|Filter|n-shot|Metric|Value |   |Stderr|
|------------------|-------|------|-----:|------|-----:|---|-----:|
|mmlu              |N/A    |none  |     0|acc   |0.5966|±  |0.1393|
| - humanities     |N/A    |none  |     0|acc   |0.5356|±  |0.1653|
| - other          |N/A    |none  |     0|acc   |0.6814|±  |0.1021|
| - social_sciences|N/A    |none  |     0|acc   |0.6952|±  |0.0897|
| - stem           |N/A    |none  |     0|acc   |0.5078|±  |0.1149|


4 LORA

hf (pretrained=/scratch/alif/language-models/segment/mistral-7b-instruct-4_avg), gen_kwargs: (), limit: None, num_fewshot: None, batch_size: 16
|                 Tasks                 |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|mmlu                                   |N/A    |none  |     0|acc   |0.5966|±  |0.1393|
| - humanities                          |N/A    |none  |     0|acc   |0.5356|±  |0.1653|
|  - formal_logic                       |Yaml   |none  |     0|acc   |0.3413|±  |0.0424|
|  - high_school_european_history       |Yaml   |none  |     0|acc   |0.7576|±  |0.0335|
|  - high_school_us_history             |Yaml   |none  |     0|acc   |0.7598|±  |0.0300|
|  - high_school_world_history          |Yaml   |none  |     0|acc   |0.7806|±  |0.0269|
|  - international_law                  |Yaml   |none  |     0|acc   |0.7603|±  |0.0390|
|  - jurisprudence                      |Yaml   |none  |     0|acc   |0.7407|±  |0.0424|
|  - logical_fallacies                  |Yaml   |none  |     0|acc   |0.7607|±  |0.0335|
|  - moral_disputes                     |Yaml   |none  |     0|acc   |0.6821|±  |0.0251|
|  - moral_scenarios                    |Yaml   |none  |     0|acc   |0.2413|±  |0.0143|
|  - philosophy                         |Yaml   |none  |     0|acc   |0.6945|±  |0.0262|
|  - prehistory                         |Yaml   |none  |     0|acc   |0.7130|±  |0.0252|
|  - professional_law                   |Yaml   |none  |     0|acc   |0.4420|±  |0.0127|
|  - world_religions                    |Yaml   |none  |     0|acc   |0.8129|±  |0.0299|
| - other                               |N/A    |none  |     0|acc   |0.6814|±  |0.1021|
|  - business_ethics                    |Yaml   |none  |     0|acc   |0.5900|±  |0.0494|
|  - clinical_knowledge                 |Yaml   |none  |     0|acc   |0.6906|±  |0.0285|
|  - college_medicine                   |Yaml   |none  |     0|acc   |0.5896|±  |0.0375|
|  - global_facts                       |Yaml   |none  |     0|acc   |0.3900|±  |0.0490|
|  - human_aging                        |Yaml   |none  |     0|acc   |0.6413|±  |0.0322|
|  - management                         |Yaml   |none  |     0|acc   |0.7864|±  |0.0406|
|  - marketing                          |Yaml   |none  |     0|acc   |0.8547|±  |0.0231|
|  - medical_genetics                   |Yaml   |none  |     0|acc   |0.7100|±  |0.0456|
|  - miscellaneous                      |Yaml   |none  |     0|acc   |0.7905|±  |0.0146|
|  - nutrition                          |Yaml   |none  |     0|acc   |0.7059|±  |0.0261|
|  - professional_accounting            |Yaml   |none  |     0|acc   |0.4787|±  |0.0298|
|  - professional_medicine              |Yaml   |none  |     0|acc   |0.6838|±  |0.0282|
|  - virology                           |Yaml   |none  |     0|acc   |0.5000|±  |0.0389|
| - social_sciences                     |N/A    |none  |     0|acc   |0.6952|±  |0.0897|
|  - econometrics                       |Yaml   |none  |     0|acc   |0.4298|±  |0.0466|
|  - high_school_geography              |Yaml   |none  |     0|acc   |0.7525|±  |0.0307|
|  - high_school_government_and_politics|Yaml   |none  |     0|acc   |0.8394|±  |0.0265|
|  - high_school_macroeconomics         |Yaml   |none  |     0|acc   |0.5897|±  |0.0249|
|  - high_school_microeconomics         |Yaml   |none  |     0|acc   |0.6303|±  |0.0314|
|  - high_school_psychology             |Yaml   |none  |     0|acc   |0.7835|±  |0.0177|
|  - human_sexuality                    |Yaml   |none  |     0|acc   |0.7328|±  |0.0388|
|  - professional_psychology            |Yaml   |none  |     0|acc   |0.6144|±  |0.0197|
|  - public_relations                   |Yaml   |none  |     0|acc   |0.6636|±  |0.0453|
|  - security_studies                   |Yaml   |none  |     0|acc   |0.6980|±  |0.0294|
|  - sociology                          |Yaml   |none  |     0|acc   |0.8607|±  |0.0245|
|  - us_foreign_policy                  |Yaml   |none  |     0|acc   |0.8300|±  |0.0378|
| - stem                                |N/A    |none  |     0|acc   |0.5078|±  |0.1149|
|  - abstract_algebra                   |Yaml   |none  |     0|acc   |0.2800|±  |0.0451|
|  - anatomy                            |Yaml   |none  |     0|acc   |0.5630|±  |0.0428|
|  - astronomy                          |Yaml   |none  |     0|acc   |0.6250|±  |0.0394|
|  - college_biology                    |Yaml   |none  |     0|acc   |0.6875|±  |0.0388|
|  - college_chemistry                  |Yaml   |none  |     0|acc   |0.4600|±  |0.0501|
|  - college_computer_science           |Yaml   |none  |     0|acc   |0.5600|±  |0.0499|
|  - college_mathematics                |Yaml   |none  |     0|acc   |0.3400|±  |0.0476|
|  - college_physics                    |Yaml   |none  |     0|acc   |0.4510|±  |0.0495|
|  - computer_security                  |Yaml   |none  |     0|acc   |0.7300|±  |0.0446|
|  - conceptual_physics                 |Yaml   |none  |     0|acc   |0.5404|±  |0.0326|
|  - electrical_engineering             |Yaml   |none  |     0|acc   |0.5862|±  |0.0410|
|  - elementary_mathematics             |Yaml   |none  |     0|acc   |0.3968|±  |0.0252|
|  - high_school_biology                |Yaml   |none  |     0|acc   |0.7419|±  |0.0249|
|  - high_school_chemistry              |Yaml   |none  |     0|acc   |0.4877|±  |0.0352|
|  - high_school_computer_science       |Yaml   |none  |     0|acc   |0.6600|±  |0.0476|
|  - high_school_mathematics            |Yaml   |none  |     0|acc   |0.3296|±  |0.0287|
|  - high_school_physics                |Yaml   |none  |     0|acc   |0.2980|±  |0.0373|
|  - high_school_statistics             |Yaml   |none  |     0|acc   |0.4676|±  |0.0340|
|  - machine_learning                   |Yaml   |none  |     0|acc   |0.5000|±  |0.0475|

|      Groups      |Version|Filter|n-shot|Metric|Value |   |Stderr|
|------------------|-------|------|-----:|------|-----:|---|-----:|
|mmlu              |N/A    |none  |     0|acc   |0.5966|±  |0.1393|
| - humanities     |N/A    |none  |     0|acc   |0.5356|±  |0.1653|
| - other          |N/A    |none  |     0|acc   |0.6814|±  |0.1021|
| - social_sciences|N/A    |none  |     0|acc   |0.6952|±  |0.0897|
| - stem           |N/A    |none  |     0|acc   |0.5078|±  |0.1149|

8 LORA

hf (pretrained=/scratch/alif/language-models/segment/mistral-7b-instruct-8_avg), gen_kwargs: (), limit: None, num_fewshot: None, batch_size: 16
|                 Tasks                 |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|mmlu                                   |N/A    |none  |     0|acc   |0.5966|±  |0.1393|
| - humanities                          |N/A    |none  |     0|acc   |0.5356|±  |0.1653|
|  - formal_logic                       |Yaml   |none  |     0|acc   |0.3413|±  |0.0424|
|  - high_school_european_history       |Yaml   |none  |     0|acc   |0.7576|±  |0.0335|
|  - high_school_us_history             |Yaml   |none  |     0|acc   |0.7598|±  |0.0300|
|  - high_school_world_history          |Yaml   |none  |     0|acc   |0.7806|±  |0.0269|
|  - international_law                  |Yaml   |none  |     0|acc   |0.7603|±  |0.0390|
|  - jurisprudence                      |Yaml   |none  |     0|acc   |0.7407|±  |0.0424|
|  - logical_fallacies                  |Yaml   |none  |     0|acc   |0.7607|±  |0.0335|
|  - moral_disputes                     |Yaml   |none  |     0|acc   |0.6821|±  |0.0251|
|  - moral_scenarios                    |Yaml   |none  |     0|acc   |0.2413|±  |0.0143|
|  - philosophy                         |Yaml   |none  |     0|acc   |0.6945|±  |0.0262|
|  - prehistory                         |Yaml   |none  |     0|acc   |0.7130|±  |0.0252|
|  - professional_law                   |Yaml   |none  |     0|acc   |0.4420|±  |0.0127|
|  - world_religions                    |Yaml   |none  |     0|acc   |0.8129|±  |0.0299|
| - other                               |N/A    |none  |     0|acc   |0.6814|±  |0.1021|
|  - business_ethics                    |Yaml   |none  |     0|acc   |0.5900|±  |0.0494|
|  - clinical_knowledge                 |Yaml   |none  |     0|acc   |0.6906|±  |0.0285|
|  - college_medicine                   |Yaml   |none  |     0|acc   |0.5896|±  |0.0375|
|  - global_facts                       |Yaml   |none  |     0|acc   |0.3900|±  |0.0490|
|  - human_aging                        |Yaml   |none  |     0|acc   |0.6413|±  |0.0322|
|  - management                         |Yaml   |none  |     0|acc   |0.7864|±  |0.0406|
|  - marketing                          |Yaml   |none  |     0|acc   |0.8547|±  |0.0231|
|  - medical_genetics                   |Yaml   |none  |     0|acc   |0.7100|±  |0.0456|
|  - miscellaneous                      |Yaml   |none  |     0|acc   |0.7905|±  |0.0146|
|  - nutrition                          |Yaml   |none  |     0|acc   |0.7059|±  |0.0261|
|  - professional_accounting            |Yaml   |none  |     0|acc   |0.4787|±  |0.0298|
|  - professional_medicine              |Yaml   |none  |     0|acc   |0.6838|±  |0.0282|
|  - virology                           |Yaml   |none  |     0|acc   |0.5000|±  |0.0389|
| - social_sciences                     |N/A    |none  |     0|acc   |0.6952|±  |0.0897|
|  - econometrics                       |Yaml   |none  |     0|acc   |0.4298|±  |0.0466|
|  - high_school_geography              |Yaml   |none  |     0|acc   |0.7525|±  |0.0307|
|  - high_school_government_and_politics|Yaml   |none  |     0|acc   |0.8394|±  |0.0265|
|  - high_school_macroeconomics         |Yaml   |none  |     0|acc   |0.5897|±  |0.0249|
|  - high_school_microeconomics         |Yaml   |none  |     0|acc   |0.6303|±  |0.0314|
|  - high_school_psychology             |Yaml   |none  |     0|acc   |0.7835|±  |0.0177|
|  - human_sexuality                    |Yaml   |none  |     0|acc   |0.7328|±  |0.0388|
|  - professional_psychology            |Yaml   |none  |     0|acc   |0.6144|±  |0.0197|
|  - public_relations                   |Yaml   |none  |     0|acc   |0.6636|±  |0.0453|
|  - security_studies                   |Yaml   |none  |     0|acc   |0.6980|±  |0.0294|
|  - sociology                          |Yaml   |none  |     0|acc   |0.8607|±  |0.0245|
|  - us_foreign_policy                  |Yaml   |none  |     0|acc   |0.8300|±  |0.0378|
| - stem                                |N/A    |none  |     0|acc   |0.5078|±  |0.1149|
|  - abstract_algebra                   |Yaml   |none  |     0|acc   |0.2800|±  |0.0451|
|  - anatomy                            |Yaml   |none  |     0|acc   |0.5630|±  |0.0428|
|  - astronomy                          |Yaml   |none  |     0|acc   |0.6250|±  |0.0394|
|  - college_biology                    |Yaml   |none  |     0|acc   |0.6875|±  |0.0388|
|  - college_chemistry                  |Yaml   |none  |     0|acc   |0.4600|±  |0.0501|
|  - college_computer_science           |Yaml   |none  |     0|acc   |0.5600|±  |0.0499|
|  - college_mathematics                |Yaml   |none  |     0|acc   |0.3400|±  |0.0476|
