hf (pretrained=meta-llama/Llama-2-7b-hf), gen_kwargs: (), limit: None, num_fewshot: 0, batch_size: 3
|                 Tasks                 |Version|Filter|n-shot|Metric|Value |   |Stderr|
|  - high_school_macroeconomics         |Yaml   |none  |     0|acc   |0.3846|±  |0.0247|
|  - high_school_microeconomics         |Yaml   |none  |     0|acc   |0.3571|±  |0.0311|
|  - high_school_psychology             |Yaml   |none  |     0|acc   |0.5578|±  |0.0213|
|  - human_sexuality                    |Yaml   |none  |     0|acc   |0.5725|±  |0.0434|
|  - professional_psychology            |Yaml   |none  |     0|acc   |0.4232|±  |0.0200|
|  - public_relations                   |Yaml   |none  |     0|acc   |0.4182|±  |0.0472|
|  - security_studies                   |Yaml   |none  |     0|acc   |0.4776|±  |0.0320|
|  - sociology                          |Yaml   |none  |     0|acc   |0.6517|±  |0.0337|
|  - us_foreign_policy                  |Yaml   |none  |     0|acc   |0.6500|±  |0.0479|
| - stem                                |N/A    |none  |     0|acc   |0.3419|±  |0.0737|
|  - abstract_algebra                   |Yaml   |none  |     0|acc   |0.2300|±  |0.0423|
|  - anatomy                            |Yaml   |none  |     0|acc   |0.4148|±  |0.0426|
|  - astronomy                          |Yaml   |none  |     0|acc   |0.4211|±  |0.0402|
|  - college_biology                    |Yaml   |none  |     0|acc   |0.4444|±  |0.0416|
|  - college_chemistry                  |Yaml   |none  |     0|acc   |0.3300|±  |0.0473|
|  - college_computer_science           |Yaml   |none  |     0|acc   |0.3700|±  |0.0485|
|  - college_mathematics                |Yaml   |none  |     0|acc   |0.3200|±  |0.0469|
|  - college_physics                    |Yaml   |none  |     0|acc   |0.2745|±  |0.0444|
|  - computer_security                  |Yaml   |none  |     0|acc   |0.4900|±  |0.0502|
|  - conceptual_physics                 |Yaml   |none  |     0|acc   |0.3830|±  |0.0318|
|  - electrical_engineering             |Yaml   |none  |     0|acc   |0.3931|±  |0.0407|
|  - elementary_mathematics             |Yaml   |none  |     0|acc   |0.2434|±  |0.0221|
|  - high_school_biology                |Yaml   |none  |     0|acc   |0.4645|±  |0.0284|
|  - high_school_chemistry              |Yaml   |none  |     0|acc   |0.3103|±  |0.0326|
|  - high_school_computer_science       |Yaml   |none  |     0|acc   |0.3200|±  |0.0469|
|  - high_school_mathematics            |Yaml   |none  |     0|acc   |0.2481|±  |0.0263|
|  - high_school_physics                |Yaml   |none  |     0|acc   |0.2583|±  |0.0357|
|  - high_school_statistics             |Yaml   |none  |     0|acc   |0.2963|±  |0.0311|
|  - machine_learning                   |Yaml   |none  |     0|acc   |0.3929|±  |0.0464|

|      Groups      |Version|Filter|n-shot|Metric|Value |   |Stderr|
|------------------|-------|------|-----:|------|-----:|---|-----:|
|mmlu              |N/A    |none  |     0|acc   |0.4174|±  |0.0939|
| - humanities     |N/A    |none  |     0|acc   |0.3972|±  |0.1040|
| - other          |N/A    |none  |     0|acc   |0.4702|±  |0.0704|
| - social_sciences|N/A    |none  |     0|acc   |0.4722|±  |0.0817|
| - stem           |N/A    |none  |     0|acc   |0.3419|±  |0.0737|


hf (pretrained=meta-llama/Llama-2-7b-hf), gen_kwargs: (), limit: None, num_fewshot: 5, batch_size: 3
|                 Tasks                 |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|mmlu                                   |N/A    |none  |     0|acc   |0.4589|±  |0.1084|
| - humanities                          |N/A    |none  |     5|acc   |0.4323|±  |0.1204|
|  - formal_logic                       |Yaml   |none  |     5|acc   |0.2937|±  |0.0407|
|  - high_school_european_history       |Yaml   |none  |     5|acc   |0.5939|±  |0.0383|
|  - high_school_us_history             |Yaml   |none  |     5|acc   |0.5392|±  |0.0350|
|  - high_school_world_history          |Yaml   |none  |     5|acc   |0.6414|±  |0.0312|
|  - international_law                  |Yaml   |none  |     5|acc   |0.6529|±  |0.0435|
|  - jurisprudence                      |Yaml   |none  |     5|acc   |0.5278|±  |0.0483|
|  - logical_fallacies                  |Yaml   |none  |     5|acc   |0.5153|±  |0.0393|
|  - moral_disputes                     |Yaml   |none  |     5|acc   |0.5058|±  |0.0269|
|  - moral_scenarios                    |Yaml   |none  |     5|acc   |0.2402|±  |0.0143|
|  - philosophy                         |Yaml   |none  |     5|acc   |0.5916|±  |0.0279|
|  - prehistory                         |Yaml   |none  |     5|acc   |0.5031|±  |0.0278|
|  - professional_law                   |Yaml   |none  |     5|acc   |0.3651|±  |0.0123|
|  - world_religions                    |Yaml   |none  |     5|acc   |0.7018|±  |0.0351|
| - other                               |N/A    |none  |     5|acc   |0.5272|±  |0.0886|
|  - business_ethics                    |Yaml   |none  |     5|acc   |0.5300|±  |0.0502|
|  - clinical_knowledge                 |Yaml   |none  |     5|acc   |0.4566|±  |0.0307|
|  - college_medicine                   |Yaml   |none  |     5|acc   |0.4162|±  |0.0376|
|  - global_facts                       |Yaml   |none  |     5|acc   |0.3200|±  |0.0469|
|  - human_aging                        |Yaml   |none  |     5|acc   |0.5650|±  |0.0333|
|  - management                         |Yaml   |none  |     5|acc   |0.5437|±  |0.0493|
|  - marketing                          |Yaml   |none  |     5|acc   |0.6966|±  |0.0301|
|  - medical_genetics                   |Yaml   |none  |     5|acc   |0.5100|±  |0.0502|
|  - miscellaneous                      |Yaml   |none  |     5|acc   |0.6398|±  |0.0172|
|  - nutrition                          |Yaml   |none  |     5|acc   |0.4967|±  |0.0286|
|  - professional_accounting            |Yaml   |none  |     5|acc   |0.3546|±  |0.0285|
|  - professional_medicine              |Yaml   |none  |     5|acc   |0.5184|±  |0.0304|
|  - virology                           |Yaml   |none  |     5|acc   |0.4217|±  |0.0384|
| - social_sciences                     |N/A    |none  |     5|acc   |0.5197|±  |0.0860|
|  - econometrics                       |Yaml   |none  |     5|acc   |0.2719|±  |0.0419|
|  - high_school_geography              |Yaml   |none  |     5|acc   |0.4949|±  |0.0356|
|  - high_school_government_and_politics|Yaml   |none  |     5|acc   |0.6839|±  |0.0336|
|  - high_school_macroeconomics         |Yaml   |none  |     5|acc   |0.4513|±  |0.0252|
|  - high_school_microeconomics         |Yaml   |none  |     5|acc   |0.4370|±  |0.0322|
|  - high_school_psychology             |Yaml   |none  |     5|acc   |0.6239|±  |0.0208|
|  - human_sexuality                    |Yaml   |none  |     5|acc   |0.5496|±  |0.0436|
|  - professional_psychology            |Yaml   |none  |     5|acc   |0.4461|±  |0.0201|
|  - public_relations                   |Yaml   |none  |     5|acc   |0.5636|±  |0.0475|
|  - security_studies                   |Yaml   |none  |     5|acc   |0.4776|±  |0.0320|
|  - sociology                          |Yaml   |none  |     5|acc   |0.6517|±  |0.0337|
|  - us_foreign_policy                  |Yaml   |none  |     5|acc   |0.6300|±  |0.0485|
| - stem                                |N/A    |none  |     5|acc   |0.3720|±  |0.0838|
|  - abstract_algebra                   |Yaml   |none  |     5|acc   |0.2900|±  |0.0456|
|  - anatomy                            |Yaml   |none  |     5|acc   |0.4667|±  |0.0431|
|  - astronomy                          |Yaml   |none  |     5|acc   |0.3947|±  |0.0398|
|  - college_biology                    |Yaml   |none  |     5|acc   |0.4653|±  |0.0417|
|  - college_chemistry                  |Yaml   |none  |     5|acc   |0.3300|±  |0.0473|
|  - college_computer_science           |Yaml   |none  |     5|acc   |0.3400|±  |0.0476|
|  - college_mathematics                |Yaml   |none  |     5|acc   |0.3200|±  |0.0469|
|  - college_physics                    |Yaml   |none  |     5|acc   |0.2745|±  |0.0444|
|  - computer_security                  |Yaml   |none  |     5|acc   |0.6100|±  |0.0490|
|  - conceptual_physics                 |Yaml   |none  |     5|acc   |0.4128|±  |0.0322|
|  - electrical_engineering             |Yaml   |none  |     5|acc   |0.4759|±  |0.0416|
|  - elementary_mathematics             |Yaml   |none  |     5|acc   |0.2646|±  |0.0227|
|  - high_school_biology                |Yaml   |none  |     5|acc   |0.5000|±  |0.0284|
|  - high_school_chemistry              |Yaml   |none  |     5|acc   |0.3744|±  |0.0341|
|  - high_school_computer_science       |Yaml   |none  |     5|acc   |0.3900|±  |0.0490|
|  - high_school_mathematics            |Yaml   |none  |     5|acc   |0.3074|±  |0.0281|
|  - high_school_physics                |Yaml   |none  |     5|acc   |0.3179|±  |0.0380|
|  - high_school_statistics             |Yaml   |none  |     5|acc   |0.2639|±  |0.0301|
|  - machine_learning                   |Yaml   |none  |     5|acc   |0.3750|±  |0.0460|

|      Groups      |Version|Filter|n-shot|Metric|Value |   |Stderr|
|------------------|-------|------|-----:|------|-----:|---|-----:|
|mmlu              |N/A    |none  |     0|acc   |0.4589|±  |0.1084|
| - humanities     |N/A    |none  |     5|acc   |0.4323|±  |0.1204|
| - other          |N/A    |none  |     5|acc   |0.5272|±  |0.0886|
| - social_sciences|N/A    |none  |     5|acc   |0.5197|±  |0.0860|
| - stem           |N/A    |none  |     5|acc   |0.3720|±  |0.0838|

hf (pretrained=/scratch/alif/language-models/segment/llama-2-7b-guanaco-4_full), gen_kwargs: (), limit: None, num_fewshot: 5, batch_size: 3
|                 Tasks                 |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|mmlu                                   |N/A    |none  |     0|acc   |0.4589|±  |0.1084|
| - humanities                          |N/A    |none  |     5|acc   |0.4323|±  |0.1204|
|  - formal_logic                       |Yaml   |none  |     5|acc   |0.2937|±  |0.0407|
|  - high_school_european_history       |Yaml   |none  |     5|acc   |0.5939|±  |0.0383|
|  - high_school_us_history             |Yaml   |none  |     5|acc   |0.5392|±  |0.0350|
|  - high_school_world_history          |Yaml   |none  |     5|acc   |0.6414|±  |0.0312|
|  - international_law                  |Yaml   |none  |     5|acc   |0.6529|±  |0.0435|
|  - jurisprudence                      |Yaml   |none  |     5|acc   |0.5278|±  |0.0483|
|  - logical_fallacies                  |Yaml   |none  |     5|acc   |0.5153|±  |0.0393|
|  - moral_disputes                     |Yaml   |none  |     5|acc   |0.5058|±  |0.0269|
|  - moral_scenarios                    |Yaml   |none  |     5|acc   |0.2402|±  |0.0143|
|  - philosophy                         |Yaml   |none  |     5|acc   |0.5916|±  |0.0279|
|  - prehistory                         |Yaml   |none  |     5|acc   |0.5031|±  |0.0278|
|  - professional_law                   |Yaml   |none  |     5|acc   |0.3651|±  |0.0123|
|  - world_religions                    |Yaml   |none  |     5|acc   |0.7018|±  |0.0351|
| - other                               |N/A    |none  |     5|acc   |0.5272|±  |0.0886|
|  - business_ethics                    |Yaml   |none  |     5|acc   |0.5300|±  |0.0502|
|  - clinical_knowledge                 |Yaml   |none  |     5|acc   |0.4566|±  |0.0307|
|  - college_medicine                   |Yaml   |none  |     5|acc   |0.4162|±  |0.0376|
|  - global_facts                       |Yaml   |none  |     5|acc   |0.3200|±  |0.0469|
|  - human_aging                        |Yaml   |none  |     5|acc   |0.5650|±  |0.0333|
|  - management                         |Yaml   |none  |     5|acc   |0.5437|±  |0.0493|
|  - marketing                          |Yaml   |none  |     5|acc   |0.6966|±  |0.0301|
|  - medical_genetics                   |Yaml   |none  |     5|acc   |0.5100|±  |0.0502|
|  - miscellaneous                      |Yaml   |none  |     5|acc   |0.6398|±  |0.0172|
|  - nutrition                          |Yaml   |none  |     5|acc   |0.4967|±  |0.0286|
|  - professional_accounting            |Yaml   |none  |     5|acc   |0.3546|±  |0.0285|
|  - professional_medicine              |Yaml   |none  |     5|acc   |0.5184|±  |0.0304|
|  - virology                           |Yaml   |none  |     5|acc   |0.4217|±  |0.0384|
| - social_sciences                     |N/A    |none  |     5|acc   |0.5197|±  |0.0860|
|  - econometrics                       |Yaml   |none  |     5|acc   |0.2719|±  |0.0419|
|  - high_school_geography              |Yaml   |none  |     5|acc   |0.4949|±  |0.0356|
|  - high_school_government_and_politics|Yaml   |none  |     5|acc   |0.6839|±  |0.0336|
|  - high_school_macroeconomics         |Yaml   |none  |     5|acc   |0.4513|±  |0.0252|
|  - high_school_microeconomics         |Yaml   |none  |     5|acc   |0.4370|±  |0.0322|
|  - high_school_psychology             |Yaml   |none  |     5|acc   |0.6239|±  |0.0208|
|  - human_sexuality                    |Yaml   |none  |     5|acc   |0.5496|±  |0.0436|
|  - professional_psychology            |Yaml   |none  |     5|acc   |0.4461|±  |0.0201|
|  - public_relations                   |Yaml   |none  |     5|acc   |0.5636|±  |0.0475|
|  - security_studies                   |Yaml   |none  |     5|acc   |0.4776|±  |0.0320|
|  - sociology                          |Yaml   |none  |     5|acc   |0.6517|±  |0.0337|
|  - us_foreign_policy                  |Yaml   |none  |     5|acc   |0.6300|±  |0.0485|
| - stem                                |N/A    |none  |     5|acc   |0.3720|±  |0.0838|
|  - abstract_algebra                   |Yaml   |none  |     5|acc   |0.2900|±  |0.0456|
|  - anatomy                            |Yaml   |none  |     5|acc   |0.4667|±  |0.0431|
|  - astronomy                          |Yaml   |none  |     5|acc   |0.3947|±  |0.0398|
|  - college_biology                    |Yaml   |none  |     5|acc   |0.4653|±  |0.0417|
|  - college_chemistry                  |Yaml   |none  |     5|acc   |0.3300|±  |0.0473|
|  - college_computer_science           |Yaml   |none  |     5|acc   |0.3400|±  |0.0476|
|  - college_mathematics                |Yaml   |none  |     5|acc   |0.3200|±  |0.0469|
|  - college_physics                    |Yaml   |none  |     5|acc   |0.2745|±  |0.0444|
|  - computer_security                  |Yaml   |none  |     5|acc   |0.6100|±  |0.0490|
|  - conceptual_physics                 |Yaml   |none  |     5|acc   |0.4128|±  |0.0322|
|  - electrical_engineering             |Yaml   |none  |     5|acc   |0.4759|±  |0.0416|
|  - elementary_mathematics             |Yaml   |none  |     5|acc   |0.2646|±  |0.0227|
|  - high_school_biology                |Yaml   |none  |     5|acc   |0.5000|±  |0.0284|
|  - high_school_chemistry              |Yaml   |none  |     5|acc   |0.3744|±  |0.0341|
|  - high_school_computer_science       |Yaml   |none  |     5|acc   |0.3900|±  |0.0490|
|  - high_school_mathematics            |Yaml   |none  |     5|acc   |0.3074|±  |0.0281|
|  - high_school_physics                |Yaml   |none  |     5|acc   |0.3179|±  |0.0380|
|  - high_school_statistics             |Yaml   |none  |     5|acc   |0.2639|±  |0.0301|
|  - machine_learning                   |Yaml   |none  |     5|acc   |0.3750|±  |0.0460|

|      Groups      |Version|Filter|n-shot|Metric|Value |   |Stderr|
|------------------|-------|------|-----:|------|-----:|---|-----:|
|mmlu              |N/A    |none  |     0|acc   |0.4589|±  |0.1084|
| - humanities     |N/A    |none  |     5|acc   |0.4323|±  |0.1204|
| - other          |N/A    |none  |     5|acc   |0.5272|±  |0.0886|
| - social_sciences|N/A    |none  |     5|acc   |0.5197|±  |0.0860|
| - stem           |N/A    |none  |     5|acc   |0.3720|±  |0.0838|

hf (pretrained=alif-munim/llama-2-7b-avg), gen_kwargs: (), limit: None, num_fewshot: 5, batch_size: 3
|                 Tasks                 |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|mmlu                                   |N/A    |none  |     0|acc   |0.4460|±  |0.1051|
| - humanities                          |N/A    |none  |     5|acc   |0.4213|±  |0.1152|
|  - formal_logic                       |Yaml   |none  |     5|acc   |0.3016|±  |0.0410|
|  - high_school_european_history       |Yaml   |none  |     5|acc   |0.5515|±  |0.0388|
|  - high_school_us_history             |Yaml   |none  |     5|acc   |0.5588|±  |0.0348|
|  - high_school_world_history          |Yaml   |none  |     5|acc   |0.5992|±  |0.0319|
|  - international_law                  |Yaml   |none  |     5|acc   |0.6033|±  |0.0447|
|  - jurisprudence                      |Yaml   |none  |     5|acc   |0.5000|±  |0.0483|
|  - logical_fallacies                  |Yaml   |none  |     5|acc   |0.4969|±  |0.0393|
|  - moral_disputes                     |Yaml   |none  |     5|acc   |0.4827|±  |0.0269|
|  - moral_scenarios                    |Yaml   |none  |     5|acc   |0.2380|±  |0.0142|
|  - philosophy                         |Yaml   |none  |     5|acc   |0.5916|±  |0.0279|
|  - prehistory                         |Yaml   |none  |     5|acc   |0.4938|±  |0.0278|
|  - professional_law                   |Yaml   |none  |     5|acc   |0.3579|±  |0.0122|
|  - world_religions                    |Yaml   |none  |     5|acc   |0.6784|±  |0.0358|
| - other                               |N/A    |none  |     5|acc   |0.5175|±  |0.0833|
|  - business_ethics                    |Yaml   |none  |     5|acc   |0.4800|±  |0.0502|
|  - clinical_knowledge                 |Yaml   |none  |     5|acc   |0.4415|±  |0.0306|
|  - college_medicine                   |Yaml   |none  |     5|acc   |0.4162|±  |0.0376|
|  - global_facts                       |Yaml   |none  |     5|acc   |0.3400|±  |0.0476|
|  - human_aging                        |Yaml   |none  |     5|acc   |0.5516|±  |0.0334|
|  - management                         |Yaml   |none  |     5|acc   |0.5825|±  |0.0488|
|  - marketing                          |Yaml   |none  |     5|acc   |0.6923|±  |0.0302|
|  - medical_genetics                   |Yaml   |none  |     5|acc   |0.5000|±  |0.0503|
|  - miscellaneous                      |Yaml   |none  |     5|acc   |0.6194|±  |0.0174|
|  - nutrition                          |Yaml   |none  |     5|acc   |0.4706|±  |0.0286|
|  - professional_accounting            |Yaml   |none  |     5|acc   |0.3688|±  |0.0288|
|  - professional_medicine              |Yaml   |none  |     5|acc   |0.5147|±  |0.0304|
|  - virology                           |Yaml   |none  |     5|acc   |0.4157|±  |0.0384|
| - social_sciences                     |N/A    |none  |     5|acc   |0.5015|±  |0.0844|
|  - econometrics                       |Yaml   |none  |     5|acc   |0.3246|±  |0.0440|
|  - high_school_geography              |Yaml   |none  |     5|acc   |0.4646|±  |0.0355|
|  - high_school_government_and_politics|Yaml   |none  |     5|acc   |0.6580|±  |0.0342|
|  - high_school_macroeconomics         |Yaml   |none  |     5|acc   |0.4077|±  |0.0249|
|  - high_school_microeconomics         |Yaml   |none  |     5|acc   |0.4118|±  |0.0320|
|  - high_school_psychology             |Yaml   |none  |     5|acc   |0.6055|±  |0.0210|
|  - human_sexuality                    |Yaml   |none  |     5|acc   |0.5573|±  |0.0436|
|  - professional_psychology            |Yaml   |none  |     5|acc   |0.4412|±  |0.0201|
|  - public_relations                   |Yaml   |none  |     5|acc   |0.5545|±  |0.0476|
|  - security_studies                   |Yaml   |none  |     5|acc   |0.4245|±  |0.0316|
|  - sociology                          |Yaml   |none  |     5|acc   |0.6219|±  |0.0343|
|  - us_foreign_policy                  |Yaml   |none  |     5|acc   |0.6700|±  |0.0473|
| - stem                                |N/A    |none  |     5|acc   |0.3584|±  |0.0838|
|  - abstract_algebra                   |Yaml   |none  |     5|acc   |0.3200|±  |0.0469|
|  - anatomy                            |Yaml   |none  |     5|acc   |0.4519|±  |0.0430|
|  - astronomy                          |Yaml   |none  |     5|acc   |0.4079|±  |0.0400|
|  - college_biology                    |Yaml   |none  |     5|acc   |0.4444|±  |0.0416|
|  - college_chemistry                  |Yaml   |none  |     5|acc   |0.3500|±  |0.0479|
|  - college_computer_science           |Yaml   |none  |     5|acc   |0.4000|±  |0.0492|
|  - college_mathematics                |Yaml   |none  |     5|acc   |0.3200|±  |0.0469|
|  - college_physics                    |Yaml   |none  |     5|acc   |0.2059|±  |0.0402|
|  - computer_security                  |Yaml   |none  |     5|acc   |0.6000|±  |0.0492|
|  - conceptual_physics                 |Yaml   |none  |     5|acc   |0.4255|±  |0.0323|
|  - electrical_engineering             |Yaml   |none  |     5|acc   |0.4207|±  |0.0411|
|  - elementary_mathematics             |Yaml   |none  |     5|acc   |0.2725|±  |0.0229|
|  - high_school_biology                |Yaml   |none  |     5|acc   |0.4548|±  |0.0283|
|  - high_school_chemistry              |Yaml   |none  |     5|acc   |0.3350|±  |0.0332|
|  - high_school_computer_science       |Yaml   |none  |     5|acc   |0.3700|±  |0.0485|
|  - high_school_mathematics            |Yaml   |none  |     5|acc   |0.2963|±  |0.0278|
|  - high_school_physics                |Yaml   |none  |     5|acc   |0.2781|±  |0.0366|
|  - high_school_statistics             |Yaml   |none  |     5|acc   |0.2222|±  |0.0284|
|  - machine_learning                   |Yaml   |none  |     5|acc   |0.3839|±  |0.0462|

|      Groups      |Version|Filter|n-shot|Metric|Value |   |Stderr|
|------------------|-------|------|-----:|------|-----:|---|-----:|
|mmlu              |N/A    |none  |     0|acc   |0.4460|±  |0.1051|
| - humanities     |N/A    |none  |     5|acc   |0.4213|±  |0.1152|
| - other          |N/A    |none  |     5|acc   |0.5175|±  |0.0833|
| - social_sciences|N/A    |none  |     5|acc   |0.5015|±  |0.0844|
| - stem           |N/A    |none  |     5|acc   |0.3584|±  |0.0838|
